formulation,axis,slice_direction,coordinate_m,x_m,y_m,u_parallel_m_s,u_tangential_m_s,u_x_m_s,u_y_m_s
brinkman_usfem_pkpk_k1,x,flux,0.0003146731,0.0003146731,0.00036505,1.549944396684716e-07,3.038571963175736e-08,1.549944396684716e-07,3.038571963175736e-08
brinkman_usfem_pkpk_k1,x,flux,0.000317072,0.000317072,0.00036505,1.73245247078134e-07,-3.496033163233172e-09,1.73245247078134e-07,-3.496033163233172e-09
brinkman_usfem_pkpk_k1,x,flux,0.0003194709,0.0003194709,0.00036505,1.9149605448779642e-07,-3.7377785958223697e-08,1.9149605448779642e-07,-3.7377785958223697e-08
brinkman_usfem_pkpk_k1,x,flux,0.00032186979999999997,0.00032186979999999997,0.00036505,2.0974686189745844e-07,-7.125953875321347e-08,2.0974686189745844e-07,-7.125953875321347e-08
brinkman_usfem_pkpk_k1,x,flux,0.0003242687,0.0003242687,0.00036505,3.6267615730196105e-07,-4.7526169903120434e-08,3.6267615730196105e-07,-4.7526169903120434e-08
brinkman_usfem_pkpk_k1,x,flux,0.0003266676,0.0003266676,0.00036505,7.251053229206581e-07,6.583072150599134e-08,7.251053229206581e-07,6.583072150599134e-08
brinkman_usfem_pkpk_k1,x,flux,0.0003290665,0.0003290665,0.00036505,1.0875344885393551e-06,1.7918761291510313e-07,1.0875344885393551e-06,1.7918761291510313e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003314654,0.0003314654,0.00036505,1.4499636541580525e-06,2.925445043242149e-07,1.4499636541580525e-06,2.925445043242149e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003338643,0.0003338643,0.00036505,1.7927533581158644e-06,4.0066972503889645e-07,1.7927533581158644e-06,4.0066972503889645e-07
brinkman_usfem_pkpk_k1,x,flux,0.00033626319999999996,0.00033626319999999996,0.00036505,1.703474905534268e-06,3.9369819047613414e-07,1.703474905534268e-06,3.9369819047613414e-07
brinkman_usfem_pkpk_k1,x,flux,0.00033866209999999997,0.00033866209999999997,0.00036505,1.6141964529526692e-06,3.8672665591337163e-07,1.6141964529526692e-06,3.8672665591337163e-07
brinkman_usfem_pkpk_k1,x,flux,0.000341061,0.000341061,0.00036505,1.5249180003710706e-06,3.797551213506092e-07,1.5249180003710706e-06,3.797551213506092e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003434599,0.0003434599,0.00036505,1.435639547789472e-06,3.7278358678784675e-07,1.435639547789472e-06,3.7278358678784675e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003458588,0.0003458588,0.00036505,1.3680193908961961e-06,2.316137497395401e-07,1.3680193908961961e-06,2.316137497395401e-07
brinkman_usfem_pkpk_k1,x,flux,0.0003482577,0.0003482577,0.00036505,1.3098747383665624e-06,3.173215535380361e-08,1.3098747383665624e-06,3.173215535380361e-08
brinkman_usfem_pkpk_k1,x,flux,0.0003506566,0.0003506566,0.00036505,1.2517300858369285e-06,-1.6814943903193286e-07,1.2517300858369285e-06,-1.6814943903193286e-07
brinkman_usfem_pkpk_k1,x,flux,0.00035305549999999997,0.00035305549999999997,0.00036505,1.1935854333072958e-06,-3.6803103341766483e-07,1.1935854333072958e-06,-3.6803103341766483e-07
